uuid,adm4_pcode,date,freq,pct_area_flood_hazard_100yr_low,pct_area_flood_hazard_100yr_med,pct_area_flood_hazard_100yr_high,pct_area_flood_hazard_25yr_low,pct_area_flood_hazard_25yr_med,pct_area_flood_hazard_25yr_high,pct_area_flood_hazard_5yr_low,pct_area_flood_hazard_5yr_med,pct_area_flood_hazard_5yr_high,pct_area_landslide_hazard_low,pct_area_landslide_hazard_med,pct_area_landslide_hazard_high
PNHZD00003C,PH050506060,2015-01-01,S,6.1677,4.6259,0.0742,0.0,0.0,0.0,0.0,0.0,0.0,8.5456,8.6187,1.4838
PNHZD00003D,PH050506008,2015-01-01,S,8.7871,36.5983,6.3399,11.0851,32.9965,4.069,15.3698,26.0884,2.4251,6.9699,17.5011,0.0
PNHZD00003E,PH050506070,2015-01-01,S,4.4376,7.3159,4.7183,0.2115,0.7082,2.1837,0.2194,1.0483,1.6812,9.8108,10.785,2.5275
PNHZD00003F,PH050506040,2015-01-01,S,3.0628,3.2815,3.3082,2.1948,3.2369,2.6627,1.9038,3.8746,0.826,15.8325,27.4486,0.0
PNHZD000040,PH050506047,2015-01-01,S,9.1938,2.0608,1.6407,2.9,1.1688,1.0151,2.0256,0.7944,0.8266,0.2437,0.2309,11.7487
PNHZD000041,PH050506063,2015-01-01,S,5.7382,6.6893,1.4563,3.3148,4.3453,0.3849,3.4513,3.3023,0.1831,10.7477,15.6499,5.4083
PNHZD000042,PH050506029,2015-01-01,S,24.1571,51.4859,0.0,25.0108,37.8647,0.0,24.3119,10.9714,0.0,0.1263,0.0,0.0
PNHZD000043,PH050506034,2015-01-01,S,27.4086,56.2032,0.0,40.7748,21.2353,0.0,17.9254,1.0059,0.0,0.0,0.0,0.0
PNHZD000044,PH050506074,2015-01-01,S,2.9366,10.082,19.0673,3.1845,11.7537,15.5862,5.0719,11.6711,11.2482,10.2869,16.7327,13.9562
PNHZD000045,PH050506054,2015-01-01,S,2.4739,2.8708,0.7159,0.4379,0.7312,0.2022,0.41,0.5852,0.1389,18.767,22.4588,6.96
PNHZD000046,PH072230023,2015-01-01,S,8.7524,19.3805,9.0951,0.0,0.0,0.0,0.0,0.0,0.0,0.8988,0.6938,0.0052
PNHZD000047,PH072230001,2015-01-01,S,17.3911,27.9909,3.8883,0.0,0.0,0.0,0.0,0.0,0.0,0.3419,0.0928,0.0
