adm4_pcode,adm4_en,adm3_pcode,adm3_en,adm2_pcode,adm2_en,adm1_pcode,adm1_en,brgy_total_area,uuid,date,freq,pct_area_flood_hazard_100yr_low,pct_area_flood_hazard_100yr_med,pct_area_flood_hazard_100yr_high,pct_area_flood_hazard_25yr_low,pct_area_flood_hazard_25yr_med,pct_area_flood_hazard_25yr_high,pct_area_flood_hazard_5yr_low,pct_area_flood_hazard_5yr_med,pct_area_flood_hazard_5yr_high,pct_area_landslide_hazard_low,pct_area_landslide_hazard_med,pct_area_landslide_hazard_high
PH050506023,Bgy. 26 - Dinagaan (Pob.),PH050506000,Legazpi City,PH050500000,Albay,PH050000000,Region V,0.0451,PNHZD000020,1/1/2015,S,6.4393,79.7683,11.8263,15.1187,71.9715,7.4889,37.0694,36.6587,0.4439,0,0,0
PH050506010,Bgy. 14 - Ilawod Pob. (Ilawod 2),PH050506000,Legazpi City,PH050500000,Albay,PH050000000,Region V,0.0873,PNHZD000021,1/1/2015,S,10.195,21.1703,5.2881,10.3014,18.5013,3.8515,8.2345,16.0891,1.9296,9.6671,22.3073,0
PH050506037,Bgy. 39 - Bonot (Pob.),PH050506000,Legazpi City,PH050500000,Albay,PH050000000,Region V,0.4738,PNHZD000022,1/1/2015,S,22.0018,23.3582,7.9066,18.9702,13.8307,7.2356,12.8408,4.3854,6.9321,0,0,0
PH050506019,Bgy. 22 - Binanuahan East (Pob.),PH050506000,Legazpi City,PH050500000,Albay,PH050000000,Region V,0.0763,PNHZD000023,1/1/2015,S,1.2921,26.3239,66.7962,3.0704,59.152,31.4218,4.4481,84.1045,1.2443,0,0,0.6897
PH050506055,Bgy. 38 - Gogon (Bgy. 54),PH050506000,Legazpi City,PH050500000,Albay,PH050000000,Region V,0.9027,PNHZD000024,1/1/2015,S,20.2066,14.3246,1.2667,17.1377,10.4889,1.1261,12.0033,6.8757,1.0707,0.0138,0.0166,0
PH050506018,Bgy. 21 - Binanuahan West (Pob.),PH050506000,Legazpi City,PH050500000,Albay,PH050000000,Region V,0.0459,PNHZD000025,1/1/2015,S,17.4086,45.2022,30.7435,21.2174,40.6855,19.8098,12.1996,34.1435,11.3068,0,0,0
PH050506025,Bgy. 28 - Victory Village North (Pob.),PH050506000,Legazpi City,PH050500000,Albay,PH050000000,Region V,0.0616,PNHZD000026,1/1/2015,S,9.4154,48.5193,30.6976,11.5236,53.0569,19.5174,13.8716,55.3226,0.8374,0,0,0
PH050506073,Bgy. 24 - Rizal Street,PH050506000,Legazpi City,PH050500000,Albay,PH050000000,Region V,0.1596,PNHZD000027,1/1/2015,S,13.9295,66.2484,4.8627,22.1324,50.3866,2.4174,25.8299,19.2621,0.188,0,0,0
PH050506066,Bgy. 46 - San Joaquin (Bgy. 64),PH050506000,Legazpi City,PH050500000,Albay,PH050000000,Region V,0.6977,PNHZD000028,1/1/2015,S,29.0938,0.201,0.0481,0.0937,0.1342,0,0.0556,0.0932,0,0,0,0
PH050506021,Bgy. 20 - Cabagñan East (Pob.),PH050506000,Legazpi City,PH050500000,Albay,PH050000000,Region V,0.105,PNHZD000029,1/1/2015,S,24.3954,58.1852,7.9209,32.1405,41.0324,2.4216,17.4839,11.4785,0.9158,0,0,0
PH050506033,Bgy. 34 - Oro Site-Magallanes St. (Pob.),PH050506000,Legazpi City,PH050500000,Albay,PH050000000,Region V,0.1448,PNHZD00002A,1/1/2015,S,7.1916,80.7013,2.1937,19.2257,65.5384,0.1381,37.6864,18.1609,0,0,0,0
